unit,year,bribery_official_corruption,racial_profiling,conduct_unbecoming_off_duty,criminal_misconduct,false_arrest,operation_personnel_violations,excessive_force,domestic,use_of_force,money_property,supervisory_responsibilities,traffic,incident,illegal_search,medical,lockup_procedures,unknown,first_amendment,verbal_abuse,drug_alcohol_abuse
9,2015,0,0,0.01863354037267080745,0,0.17391304347826086957,0.3602484472049689441,0.01242236024844720497,0.01242236024844720497,0.11180124223602484472,0,0,0.06211180124223602484,0,0.09316770186335403727,0,0.10559006211180124224,0,0,0.04968944099378881988,0
4,2002,0.00187969924812030075,0,0.00939849624060150376,0,0.03947368421052631579,0.39473684210526315789,0,0.0545112781954887218,0.18984962406015037594,0,0.01127819548872180451,0.08082706766917293233,0,0.12593984962406015038,0,0.03007518796992481203,0,0,0.06015037593984962406,0.00187969924812030075
10,2003,0,0,0.0136054421768707483,0,0.10884353741496598639,0.25170068027210884354,0,0.04421768707482993197,0.30952380952380952381,0,0,0.02040816326530612245,0,0.09863945578231292517,0,0.03741496598639455782,0,0,0.11564625850340136054,0
16,2015,0,0,0.09473684210526315789,0,0.05263157894736842105,0.34736842105263157895,0,0.15789473684210526316,0.18947368421052631579,0,0,0.02105263157894736842,0,0.07368421052631578947,0,0.03157894736842105263,0,0,0,0.03157894736842105263
12,2017,0,0.02816901408450704225,0.01408450704225352113,0,0.11267605633802816901,0.47887323943661971831,0,0.01408450704225352113,0.18309859154929577465,0,0.01408450704225352113,0.02816901408450704225,0,0,0,0.02816901408450704225,0.01408450704225352113,0,0.07042253521126760563,0.01408450704225352113
6,2007,0,0.00470588235294117647,0.02352941176470588235,0.00235294117647058824,0.04941176470588235294,0.33647058823529411765,0,0.01882352941176470588,0.30823529411764705882,0,0.00235294117647058824,0.02117647058823529412,0,0.16941176470588235294,0,0.05647058823529411765,0,0,0.00705882352941176471,0
1,2004,0,0,0.025,0.06428571428571428571,0.00714285714285714286,0.41428571428571428571,0,0.03928571428571428571,0.21428571428571428571,0,0.11428571428571428571,0.01071428571428571429,0,0.01071428571428571429,0,0.07857142857142857143,0,0,0.01785714285714285714,0.00357142857142857143
17,2015,0,0,0.03448275862068965517,0,0.06896551724137931034,0.41379310344827586207,0,0,0.24137931034482758621,0,0.01724137931034482759,0,0,0.13793103448275862069,0,0.08620689655172413793,0,0,0,0
15,2011,0.01485148514851485149,0,0,0.00990099009900990099,0.15841584158415841584,0.19306930693069306931,0,0.02475247524752475248,0.34653465346534653465,0,0.01485148514851485149,0,0,0.16831683168316831683,0,0.03960396039603960396,0,0,0.02970297029702970297,0
10,2012,0.02127659574468085106,0,0.02127659574468085106,0,0.10106382978723404255,0.30851063829787234043,0,0.0159574468085106383,0.29787234042553191489,0,0.01063829787234042553,0.02127659574468085106,0,0.12234042553191489362,0,0.07446808510638297872,0,0,0.00531914893617021277,0
19,2002,0,0,0.00821917808219178082,0.00821917808219178082,0.03561643835616438356,0.32876712328767123288,0,0.08493150684931506849,0.19452054794520547945,0,0.01369863013698630137,0.09863013698630136986,0,0.0739726027397260274,0,0.05205479452054794521,0,0,0.09863013698630136986,0.00273972602739726027
18,2015,0,0,0.00884955752212389381,0.00884955752212389381,0.03539823008849557522,0.47787610619469026549,0,0.00884955752212389381,0.23008849557522123894,0,0.01769911504424778761,0.07079646017699115044,0,0.09734513274336283186,0,0.04424778761061946903,0,0,0,0
5,2008,0,0,0.01510574018126888218,0,0.02719033232628398792,0.38972809667673716012,0,0.01812688821752265861,0.33836858006042296073,0,0.01208459214501510574,0.02719033232628398792,0,0.08459214501510574018,0,0.05438066465256797583,0,0,0.03323262839879154079,0
12,2015,0,0,0.02564102564102564103,0,0.05128205128205128205,0.56410256410256410256,0,0.02564102564102564103,0.11111111111111111111,0,0,0.05128205128205128205,0,0.08547008547008547009,0,0.05128205128205128205,0,0,0.02564102564102564103,0.00854700854700854701
9,2003,0,0,0.01259445843828715365,0,0.03526448362720403023,0.44080604534005037783,0,0.02770780856423173804,0.19899244332493702771,0,0.0251889168765743073,0.01763224181360201511,0,0.0906801007556675063,0,0.0327455919395465995,0,0,0.11838790931989924433,0
17,2016,0,0,0.03225806451612903226,0,0,0.48387096774193548387,0,0,0.16129032258064516129,0.03225806451612903226,0,0.16129032258064516129,0,0,0,0.09677419354838709677,0,0,0.03225806451612903226,0
25,2017,0,0,0.02,0,0.12,0.36,0.01,0,0.27,0,0,0.01,0,0.1,0,0.11,0,0,0,0
5,2009,0.01673640167364016736,0,0.00418410041841004184,0,0.06276150627615062762,0.41004184100418410042,0,0.02510460251046025105,0.2552301255230125523,0,0,0.00836820083682008368,0,0.13807531380753138075,0,0.05857740585774058577,0,0,0.01673640167364016736,0.00418410041841004184
24,2004,0,0,0.03053435114503816794,0,0.03053435114503816794,0.37404580152671755725,0,0.00763358778625954198,0.16793893129770992366,0,0.01526717557251908397,0.00763358778625954198,0,0.22900763358778625954,0,0.09160305343511450382,0,0,0.04580152671755725191,0
4,2013,0,0,0.045,0,0.045,0.375,0.01,0.015,0.18,0,0,0.035,0,0.185,0,0.095,0,0,0.015,0
