name,year,count
10th,2004,266
10th,2005,242
10th,2006,294
10th,2007,306
10th,2008,313
10th,2009,302
10th,2010,292
10th,2011,292
10th,2012,267
10th,2013,266
10th,2014,241
10th,2015,189
10th,2016,190
11th,2004,546
11th,2005,576
11th,2006,564
11th,2007,579
11th,2008,492
11th,2009,515
11th,2010,594
11th,2011,549
11th,2012,485
11th,2013,500
11th,2014,466
11th,2015,391
11th,2016,335
12th,2004,331
12th,2005,309
12th,2006,289
12th,2007,355
12th,2008,333
12th,2009,362
12th,2010,308
12th,2011,262
12th,2012,286
12th,2013,260
12th,2014,224
12th,2015,193
12th,2016,214
14th,2004,224
14th,2005,209
14th,2006,217
14th,2007,281
14th,2008,269
14th,2009,238
14th,2010,254
14th,2011,223
14th,2012,197
14th,2013,128
14th,2014,115
14th,2015,98
14th,2016,68
15th,2004,293
15th,2005,237
15th,2006,269
15th,2007,325
15th,2008,367
15th,2009,360
15th,2010,357
15th,2011,295
15th,2012,272
15th,2013,287
15th,2014,238
15th,2015,193
15th,2016,175
16th,2004,168
16th,2005,174
16th,2006,196
16th,2007,255
16th,2008,250
16th,2009,223
16th,2010,196
16th,2011,207
16th,2012,195
16th,2013,206
16th,2014,151
16th,2015,177
16th,2016,163
17th,2004,158
17th,2005,138
17th,2006,131
17th,2007,158
17th,2008,176
17th,2009,196
17th,2010,159
17th,2011,146
17th,2012,109
17th,2013,128
17th,2014,87
17th,2015,99
17th,2016,79
18th,2004,239
18th,2005,279
18th,2006,274
18th,2007,371
18th,2008,341
18th,2009,349
18th,2010,360
18th,2011,289
18th,2012,311
18th,2013,292
18th,2014,229
18th,2015,196
18th,2016,193
19th,2004,240
19th,2005,215
19th,2006,225
19th,2007,396
19th,2008,386
19th,2009,382
19th,2010,323
19th,2011,309
19th,2012,283
19th,2013,275
19th,2014,209
19th,2015,184
19th,2016,191
1st,2004,353
1st,2005,337
1st,2006,353
1st,2007,542
1st,2008,517
1st,2009,491
1st,2010,468
1st,2011,427
1st,2012,396
1st,2013,365
1st,2014,279
1st,2015,307
1st,2016,292
20th,2004,93
20th,2005,94
20th,2006,76
20th,2007,117
20th,2008,119
20th,2009,111
20th,2010,106
20th,2011,120
20th,2012,120
20th,2013,108
20th,2014,81
20th,2015,69
20th,2016,88
22nd,2004,234
22nd,2005,194
22nd,2006,251
22nd,2007,289
22nd,2008,259
22nd,2009,336
22nd,2010,317
22nd,2011,270
22nd,2012,248
22nd,2013,230
22nd,2014,203
22nd,2015,151
22nd,2016,150
24th,2004,137
24th,2005,193
24th,2006,219
24th,2007,275
24th,2008,262
24th,2009,280
24th,2010,260
24th,2011,235
24th,2012,204
24th,2013,181
24th,2014,132
24th,2015,109
24th,2016,88
25th,2004,310
25th,2005,325
25th,2006,250
25th,2007,351
25th,2008,329
25th,2009,380
25th,2010,364
25th,2011,339
25th,2012,330
25th,2013,271
25th,2014,254
25th,2015,248
25th,2016,205
2nd,2004,439
2nd,2005,354
2nd,2006,381
2nd,2007,479
2nd,2008,471
2nd,2009,440
2nd,2010,398
2nd,2011,414
2nd,2012,332
2nd,2013,409
2nd,2014,296
2nd,2015,263
2nd,2016,257
3rd,2004,275
3rd,2005,286
3rd,2006,296
3rd,2007,416
3rd,2008,414
3rd,2009,462
3rd,2010,463
3rd,2011,409
3rd,2012,407
3rd,2013,427
3rd,2014,351
3rd,2015,263
3rd,2016,237
4th,2004,338
4th,2005,320
4th,2006,366
4th,2007,447
4th,2008,458
4th,2009,510
4th,2010,451
4th,2011,388
4th,2012,423
4th,2013,333
4th,2014,344
4th,2015,258
4th,2016,209
5th,2004,283
5th,2005,324
5th,2006,270
5th,2007,398
5th,2008,367
5th,2009,389
5th,2010,418
5th,2011,372
5th,2012,395
5th,2013,320
5th,2014,302
5th,2015,191
5th,2016,200
6th,2004,281
6th,2005,325
6th,2006,363
6th,2007,530
6th,2008,495
6th,2009,509
6th,2010,560
6th,2011,515
6th,2012,510
6th,2013,445
6th,2014,379
6th,2015,304
6th,2016,261
7th,2004,454
7th,2005,403
7th,2006,420
7th,2007,436
7th,2008,451
7th,2009,450
7th,2010,497
7th,2011,466
7th,2012,438
7th,2013,412
7th,2014,330
7th,2015,287
7th,2016,246
8th,2004,360
8th,2005,328
8th,2006,390
8th,2007,415
8th,2008,478
8th,2009,480
8th,2010,516
8th,2011,459
8th,2012,438
8th,2013,373
8th,2014,332
8th,2015,264
8th,2016,256
9th,2004,302
9th,2005,240
9th,2006,301
9th,2007,390
9th,2008,372
9th,2009,422
9th,2010,405
9th,2011,364
9th,2012,344
9th,2013,287
9th,2014,241
9th,2015,221
9th,2016,175
