name,year,trr_count
10th,2004,238
10th,2005,302
10th,2006,235
10th,2007,261
10th,2008,309
10th,2009,296
10th,2010,327
10th,2011,236
10th,2012,227
10th,2013,328
10th,2014,327
10th,2015,241
10th,2016,54
11th,2004,561
11th,2005,661
11th,2006,639
11th,2007,528
11th,2008,504
11th,2009,599
11th,2010,623
11th,2011,665
11th,2012,542
11th,2013,566
11th,2014,709
11th,2015,621
11th,2016,133
12th,2004,203
12th,2005,235
12th,2006,264
12th,2007,232
12th,2008,325
12th,2009,207
12th,2010,236
12th,2011,207
12th,2012,222
12th,2013,178
12th,2014,129
12th,2015,139
12th,2016,40
14th,2004,167
14th,2005,196
14th,2006,186
14th,2007,158
14th,2008,181
14th,2009,211
14th,2010,178
14th,2011,172
14th,2012,167
14th,2013,155
14th,2014,134
14th,2015,127
14th,2016,19
15th,2004,259
15th,2005,282
15th,2006,280
15th,2007,260
15th,2008,281
15th,2009,384
15th,2010,428
15th,2011,441
15th,2012,404
15th,2013,395
15th,2014,408
15th,2015,408
15th,2016,75
16th,2004,127
16th,2005,128
16th,2006,127
16th,2007,117
16th,2008,95
16th,2009,102
16th,2010,128
16th,2011,122
16th,2012,84
16th,2013,105
16th,2014,117
16th,2015,121
16th,2016,19
17th,2004,108
17th,2005,135
17th,2006,125
17th,2007,114
17th,2008,110
17th,2009,138
17th,2010,119
17th,2011,114
17th,2012,92
17th,2013,107
17th,2014,89
17th,2015,70
17th,2016,22
18th,2004,236
18th,2005,291
18th,2006,323
18th,2007,289
18th,2008,244
18th,2009,259
18th,2010,292
18th,2011,263
18th,2012,267
18th,2013,281
18th,2014,224
18th,2015,197
18th,2016,52
19th,2004,214
19th,2005,298
19th,2006,216
19th,2007,225
19th,2008,210
19th,2009,207
19th,2010,226
19th,2011,221
19th,2012,244
19th,2013,264
19th,2014,244
19th,2015,189
19th,2016,31
1st,2004,134
1st,2005,214
1st,2006,179
1st,2007,146
1st,2008,160
1st,2009,170
1st,2010,192
1st,2011,162
1st,2012,155
1st,2013,172
1st,2014,160
1st,2015,197
1st,2016,52
20th,2004,82
20th,2005,126
20th,2006,70
20th,2007,93
20th,2008,97
20th,2009,77
20th,2010,86
20th,2011,98
20th,2012,109
20th,2013,93
20th,2014,70
20th,2015,69
20th,2016,23
22nd,2004,90
22nd,2005,115
22nd,2006,131
22nd,2007,105
22nd,2008,142
22nd,2009,142
22nd,2010,202
22nd,2011,154
22nd,2012,150
22nd,2013,137
22nd,2014,147
22nd,2015,98
22nd,2016,23
24th,2004,139
24th,2005,188
24th,2006,170
24th,2007,147
24th,2008,207
24th,2009,201
24th,2010,210
24th,2011,167
24th,2012,169
24th,2013,129
24th,2014,159
24th,2015,171
24th,2016,38
25th,2004,237
25th,2005,317
25th,2006,241
25th,2007,244
25th,2008,336
25th,2009,380
25th,2010,317
25th,2011,368
25th,2012,324
25th,2013,256
25th,2014,325
25th,2015,337
25th,2016,52
2nd,2004,197
2nd,2005,202
2nd,2006,172
2nd,2007,200
2nd,2008,181
2nd,2009,164
2nd,2010,150
2nd,2011,148
2nd,2012,98
2nd,2013,113
2nd,2014,101
2nd,2015,64
2nd,2016,27
3rd,2004,241
3rd,2005,243
3rd,2006,241
3rd,2007,248
3rd,2008,291
3rd,2009,239
3rd,2010,272
3rd,2011,276
3rd,2012,307
3rd,2013,247
3rd,2014,332
3rd,2015,249
3rd,2016,65
4th,2004,175
4th,2005,269
4th,2006,230
4th,2007,208
4th,2008,258
4th,2009,271
4th,2010,218
4th,2011,326
4th,2012,351
4th,2013,320
4th,2014,324
4th,2015,408
4th,2016,103
5th,2004,208
5th,2005,248
5th,2006,193
5th,2007,214
5th,2008,230
5th,2009,312
5th,2010,277
5th,2011,268
5th,2012,317
5th,2013,238
5th,2014,269
5th,2015,248
5th,2016,40
6th,2004,222
6th,2005,247
6th,2006,248
6th,2007,398
6th,2008,358
6th,2009,368
6th,2010,367
6th,2011,457
6th,2012,448
6th,2013,473
6th,2014,411
6th,2015,419
6th,2016,86
7th,2004,318
7th,2005,425
7th,2006,288
7th,2007,275
7th,2008,316
7th,2009,296
7th,2010,380
7th,2011,319
7th,2012,445
7th,2013,452
7th,2014,418
7th,2015,459
7th,2016,76
8th,2004,197
8th,2005,270
8th,2006,269
8th,2007,244
8th,2008,344
8th,2009,334
8th,2010,271
8th,2011,347
8th,2012,373
8th,2013,305
8th,2014,301
8th,2015,239
8th,2016,38
9th,2004,229
9th,2005,257
9th,2006,298
9th,2007,287
9th,2008,323
9th,2009,358
9th,2010,294
9th,2011,303
9th,2012,317
9th,2013,278
9th,2014,242
9th,2015,265
9th,2016,42
