10th,2001,237
10th,2002,232
10th,2003,214
10th,2004,177
10th,2005,149
10th,2006,201
10th,2007,206
10th,2008,181
10th,2009,175
10th,2010,166
10th,2011,153
10th,2012,149
10th,2013,140
10th,2014,168
10th,2015,128
10th,2016,100
10th,2017,90
10th,2018,17
11th,2001,373
11th,2002,429
11th,2003,364
11th,2004,365
11th,2005,299
11th,2006,322
11th,2007,372
11th,2008,317
11th,2009,292
11th,2010,269
11th,2011,256
11th,2012,233
11th,2013,273
11th,2014,295
11th,2015,242
11th,2016,179
11th,2017,127
11th,2018,40
12th,2001,401
12th,2002,382
12th,2003,334
12th,2004,267
12th,2005,211
12th,2006,218
12th,2007,235
12th,2008,237
12th,2009,161
12th,2010,158
12th,2011,161
12th,2012,121
12th,2013,145
12th,2014,132
12th,2015,120
12th,2016,99
12th,2017,67
12th,2018,26
14th,2001,237
14th,2002,233
14th,2003,207
14th,2004,160
14th,2005,111
14th,2006,156
14th,2007,167
14th,2008,162
14th,2009,133
14th,2010,118
14th,2011,114
14th,2012,121
14th,2013,80
14th,2014,63
14th,2015,55
14th,2016,27
14th,2017,33
14th,2018,6
15th,2001,195
15th,2002,203
15th,2003,189
15th,2004,218
15th,2005,146
15th,2006,223
15th,2007,245
15th,2008,185
15th,2009,166
15th,2010,163
15th,2011,156
15th,2012,111
15th,2013,133
15th,2014,116
15th,2015,120
15th,2016,93
15th,2017,83
15th,2018,14
16th,2001,177
16th,2002,184
16th,2003,162
16th,2004,125
16th,2005,132
16th,2006,143
16th,2007,139
16th,2008,146
16th,2009,107
16th,2010,97
16th,2011,100
16th,2012,88
16th,2013,89
16th,2014,74
16th,2015,93
16th,2016,78
16th,2017,72
16th,2018,24
17th,2001,145
17th,2002,128
17th,2003,130
17th,2004,106
17th,2005,81
17th,2006,97
17th,2007,115
17th,2008,114
17th,2009,89
17th,2010,76
17th,2011,76
17th,2012,56
17th,2013,58
17th,2014,53
17th,2015,57
17th,2016,37
17th,2017,37
17th,2018,5
18th,2001,255
18th,2002,277
18th,2003,255
18th,2004,183
18th,2005,181
18th,2006,168
18th,2007,225
18th,2008,182
18th,2009,140
18th,2010,128
18th,2011,125
18th,2012,122
18th,2013,106
18th,2014,95
18th,2015,108
18th,2016,89
18th,2017,63
18th,2018,24
19th,2001,277
19th,2002,264
19th,2003,263
19th,2004,195
19th,2005,154
19th,2006,169
19th,2007,211
19th,2008,228
19th,2009,173
19th,2010,137
19th,2011,130
19th,2012,121
19th,2013,107
19th,2014,115
19th,2015,99
19th,2016,67
19th,2017,70
19th,2018,11
1st,2001,625
1st,2002,472
1st,2003,371
1st,2004,264
1st,2005,217
1st,2006,241
1st,2007,317
1st,2008,245
1st,2009,180
1st,2010,205
1st,2011,177
1st,2012,150
1st,2013,174
1st,2014,194
1st,2015,169
1st,2016,154
1st,2017,105
1st,2018,27
20th,2001,109
20th,2002,109
20th,2003,103
20th,2004,75
20th,2005,76
20th,2006,80
20th,2007,74
20th,2008,55
20th,2009,62
20th,2010,60
20th,2011,66
20th,2012,45
20th,2013,40
20th,2014,44
20th,2015,52
20th,2016,30
20th,2017,24
20th,2018,13
22nd,2001,213
22nd,2002,214
22nd,2003,191
22nd,2004,164
22nd,2005,128
22nd,2006,163
22nd,2007,195
22nd,2008,159
22nd,2009,177
22nd,2010,145
22nd,2011,139
22nd,2012,119
22nd,2013,125
22nd,2014,132
22nd,2015,125
22nd,2016,67
22nd,2017,82
22nd,2018,21
24th,2001,189
24th,2002,167
24th,2003,144
24th,2004,104
24th,2005,124
24th,2006,120
24th,2007,173
24th,2008,154
24th,2009,122
24th,2010,116
24th,2011,92
24th,2012,64
24th,2013,70
24th,2014,72
24th,2015,61
24th,2016,30
24th,2017,18
24th,2018,3
25th,2001,265
25th,2002,254
25th,2003,225
25th,2004,211
25th,2005,185
25th,2006,185
25th,2007,216
25th,2008,182
25th,2009,212
25th,2010,188
25th,2011,156
25th,2012,147
25th,2013,146
25th,2014,183
25th,2015,140
25th,2016,62
25th,2017,89
25th,2018,8
2nd,2001,612
2nd,2002,448
2nd,2003,345
2nd,2004,327
2nd,2005,234
2nd,2006,268
2nd,2007,323
2nd,2008,268
2nd,2009,218
2nd,2010,222
2nd,2011,244
2nd,2012,169
2nd,2013,203
2nd,2014,179
2nd,2015,168
2nd,2016,112
2nd,2017,88
2nd,2018,47
3rd,2001,235
3rd,2002,274
3rd,2003,197
3rd,2004,177
3rd,2005,161
3rd,2006,182
3rd,2007,220
3rd,2008,242
3rd,2009,208
3rd,2010,166
3rd,2011,163
3rd,2012,198
3rd,2013,193
3rd,2014,166
3rd,2015,139
3rd,2016,77
3rd,2017,95
3rd,2018,37
4th,2001,279
4th,2002,318
4th,2003,243
4th,2004,223
4th,2005,163
4th,2006,223
4th,2007,269
4th,2008,266
4th,2009,259
4th,2010,203
4th,2011,199
4th,2012,199
4th,2013,149
4th,2014,232
4th,2015,138
4th,2016,86
4th,2017,74
4th,2018,29
5th,2001,269
5th,2002,270
5th,2003,237
5th,2004,213
5th,2005,237
5th,2006,189
5th,2007,282
5th,2008,252
5th,2009,176
5th,2010,190
5th,2011,191
5th,2012,237
5th,2013,179
5th,2014,217
5th,2015,135
5th,2016,103
5th,2017,79
5th,2018,17
6th,2001,293
6th,2002,258
6th,2003,267
6th,2004,202
6th,2005,174
6th,2006,212
6th,2007,309
6th,2008,253
6th,2009,225
6th,2010,230
6th,2011,228
6th,2012,234
6th,2013,228
6th,2014,178
6th,2015,166
6th,2016,120
6th,2017,142
6th,2018,42
7th,2001,282
7th,2002,337
7th,2003,333
7th,2004,335
7th,2005,240
7th,2006,276
7th,2007,311
7th,2008,314
7th,2009,284
7th,2010,289
7th,2011,259
7th,2012,229
7th,2013,237
7th,2014,209
7th,2015,195
7th,2016,83
7th,2017,143
7th,2018,58
8th,2001,370
8th,2002,319
8th,2003,335
8th,2004,259
8th,2005,194
8th,2006,283
8th,2007,271
8th,2008,257
8th,2009,259
8th,2010,256
8th,2011,228
8th,2012,171
8th,2013,177
8th,2014,175
8th,2015,152
8th,2016,132
8th,2017,92
8th,2018,24
9th,2001,340
9th,2002,305
9th,2003,302
9th,2004,248
9th,2005,173
9th,2006,204
9th,2007,270
9th,2008,208
9th,2009,232
9th,2010,200
9th,2011,193
9th,2012,160
9th,2013,147
9th,2014,137
9th,2015,137
9th,2016,85
9th,2017,70
9th,2018,23
