name,year,count
15th,2014,2871
17th,2013,1543
25th,2005,3945
2nd,2015,3162
22nd,2014,2451
18th,2017,2249
2nd,2017,2686
16th,2005,2108
9th,2016,2109
24th,2001,2893
25th,2013,3268
15th,2018,769
3rd,2007,5042
15th,2004,3546
18th,2005,3389
16th,2009,2684
18th,2009,4215
22nd,2007,3499
4th,2012,5112
25th,2008,3969
15th,2017,2163
4th,2016,2517
20th,2009,1338
8th,2002,5097
20th,2015,832
17th,2012,1313
19th,2004,2917
5th,2012,4769
6th,2008,6008
12th,2014,2698
7th,2016,2956
6th,2004,3402
20th,2013,1300
8th,2007,5029
25th,2003,3340
10th,2018,891
2nd,2011,4997
16th,2006,2376
19th,2010,3902
17th,2016,953
15th,2016,2104
4th,2014,4153
9th,2005,2913
24th,2014,1591
16th,2003,2185
6th,2001,4697
19th,2018,879
10th,2014,2911
19th,2008,4671
9th,2015,2666
17th,2004,1913
4th,2009,6172
15th,2003,2864
1st,2013,4401
14th,2005,2541
15th,2006,3260
10th,2002,3412
1st,2002,6491
3rd,2012,4910
25th,2004,3749
3rd,2015,3170
6th,2018,1467
17th,2001,2171
12th,2001,6116
5th,2018,1069
22nd,2009,4067
20th,2018,349
3rd,2002,3817
1st,2009,5916
5th,2007,4824
25th,2001,4271
3rd,2008,5008
2nd,2004,5314
7th,2011,5650
18th,2003,3571
5th,2006,3281
3rd,2010,5596
14th,2008,3257
14th,2012,2382
20th,2008,1438
8th,2006,4735
5th,2004,3441
7th,2009,5475
14th,2010,3070
20th,2005,1139
1st,2014,3358
7th,2006,5114
4th,2004,4110
1st,2004,4267
3rd,2011,4954
7th,2014,3992
19th,2001,4502
20th,2007,1414
5th,2001,4242
9th,2010,4904
9th,2018,577
4th,2001,4763
5th,2015,2307
22nd,2006,3044
4th,2010,5467
3rd,2006,3582
22nd,2012,2991
10th,2011,3528
9th,2017,1748
25th,2011,4091
16th,2002,2452
9th,2009,5127
19th,2015,2218
11th,2005,6985
22nd,2003,2658
6th,2002,4125
19th,2016,2298
15th,2007,3931
4th,2018,916
2nd,2016,3090
18th,2011,3493
6th,2006,4390
15th,2008,4438
5th,2010,5052
14th,2013,1544
20th,2006,925
22nd,2018,926
7th,2018,1346
5th,2017,2302
4th,2006,4443
1st,2008,6227
16th,2016,1962
24th,2011,2838
12th,2008,4034
25th,2002,3692
8th,2008,5785
5th,2005,3932
16th,2004,2027
3rd,2005,3470
15th,2002,3194
6th,2015,3666
6th,2012,6153
11th,2009,6236
12th,2016,2572
8th,2016,3085
8th,2018,924
18th,2006,3325
4th,2013,4014
8th,2010,6249
4th,2015,3116
3rd,2017,2132
8th,2004,4362
2nd,2003,5015
2nd,2014,3561
1st,2017,3380
4th,2002,5015
7th,2012,5297
20th,2014,974
20th,2001,1554
15th,2009,4350
1st,2011,5151
6th,2016,3144
11th,2001,6872
17th,2007,1915
10th,2009,3657
9th,2004,3666
9th,2002,4084
8th,2001,5963
2nd,2012,4004
24th,2008,3168
9th,2003,4157
16th,2017,2066
10th,2003,2881
12th,2018,816
11th,2014,5636
3rd,2001,3296
8th,2011,5557
16th,2015,2136
11th,2004,6627
10th,2004,3222
18th,2013,3524
10th,2015,2274
14th,2015,1182
22nd,2008,3133
